ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,1030165,1358895453,1,104
1,6,1030165,1359640173,1,104
2,11,1030165,1360529471,1,100
3,13,1030165,1361748191,1,105
4,15,1030165,1362428898,1,100
5,17,1030165,1362882328,1,100
6,5,1030166,1358962870,1,104
7,6,1030166,1359630440,1,100
8,11,1030166,1360097107,1,100
9,13,1030166,1361674073,1,100
10,15,1030166,1362194563,1,100
11,17,1030166,1362551374,1,100
12,5,1030167,1359076421,1,82.63
13,6,1030167,1359748560,1,100
14,11,1030167,1360458658,1,26
15,13,1030167,1361835635,1,0
16,15,1030167,0,1,0
17,17,1030167,1363114000,1,68.21
18,5,1030168,1358148752,1,104
19,6,1030168,1359286260,1,104
20,11,1030168,1359866634,1,96
21,13,1030168,1361057314,1,105
22,15,1030168,1361666424,1,96
23,17,1030168,1362262945,1,100
24,5,1030169,1358589289,1,104
25,6,1030169,0,1,0
26,11,1030169,0,1,0
27,13,1030169,0,1,0
28,15,1030169,0,1,0
29,17,1030169,0,1,0
30,5,1030170,1359067122,1,74.86
31,6,1030170,1359760939,1,66
32,11,1030170,1360509769,1,74
33,13,1030170,1361118096,1,100
34,15,1030170,1361651383,1,100
35,17,1030170,1362324889,1,100
36,5,1030171,1358985326,1,104
37,6,1030171,1359762938,1,78
38,11,1030171,0,1,0
39,13,1030171,0,1,0
40,15,1030171,0,1,0
41,17,1030171,0,1,0
42,5,1030172,1358979023,1,83.33
43,6,1030172,0,1,0
44,11,1030172,0,1,0
45,13,1030172,0,1,0
46,15,1030172,0,1,0
47,17,1030172,0,1,0
48,5,1030173,0,1,0
49,6,1030173,0,1,0
50,11,1030173,1360621034,1,103
51,13,1030173,0,1,0
52,15,1030173,0,1,0
53,17,1030173,0,1,0
54,5,1030174,1358517670,1,104
55,6,1030174,0,1,0
56,11,1030174,0,1,0
57,13,1030174,0,1,0
58,15,1030174,0,1,0
59,17,1030174,0,1,0
60,5,1030175,1358948745,1,4.29
61,6,1030175,1359932757,1,0
62,11,1030175,1360539734,1,0
63,13,1030175,1361831249,1,0
64,15,1030175,1362438040,1,10
65,17,1030175,1363036679,1,14.57
66,5,1030176,1358752260,1,104
67,6,1030176,1359761309,1,104
68,11,1030176,1360626594,1,100
69,13,1030176,1361832705,1,105
70,15,1030176,1362440193,1,105
71,17,1030176,1363100452,1,100
72,5,1030177,1358981010,1,100
73,6,1030177,1361099115,1,91
74,11,1030177,1362330754,1,88
75,13,1030177,0,1,0
76,15,1030177,0,1,0
77,17,1030177,0,1,0
78,5,1030178,1358533990,1,104
79,6,1030178,1359690844,1,104
80,11,1030178,1360618416,1,100
81,13,1030178,1361487410,1,91
82,15,1030178,1362406500,1,100
83,17,1030178,1362861518,1,100
84,5,1030179,1358205128,1,85
85,6,1030179,0,1,0
86,11,1030179,0,1,0
87,13,1030179,0,1,0
88,15,1030179,0,1,0
89,17,1030179,0,1,0
90,5,1030180,1358961595,1,104
91,6,1030180,1359761059,1,102
92,11,1030180,1360792365,1,100
93,13,1030180,1361836144,1,93.5
94,15,1030180,1362441431,1,100
95,17,1030180,1363132343,1,100
96,5,1030181,1358678184,1,104
97,6,1030181,0,1,0
98,11,1030181,0,1,0
99,13,1030181,0,1,0
100,15,1030181,0,1,0
101,17,1030181,0,1,0
102,5,1030182,1358607045,1,104
103,6,1030182,1359707716,1,100
104,11,1030182,1360627126,1,100
105,13,1030182,1361813190,1,100
106,15,1030182,0,1,0
107,17,1030182,0,1,0
108,5,1030183,1358707321,1,104
109,6,1030183,1359759625,1,100
110,11,1030183,1360362241,1,99
111,13,1030183,1361748103,1,95.5
112,15,1030183,1362440719,1,45
113,17,1030183,1362865024,1,100
114,5,1030184,1359069485,1,89.42
115,6,1030184,1359855283,1,57
116,11,1030184,1360746611,1,6
117,13,1030184,0,1,0
118,15,1030184,0,1,0
119,17,1030184,0,1,0
120,5,1030185,1358161308,1,100
121,6,1030185,1359087403,1,100
122,11,1030185,1360036065,1,78
123,13,1030185,1361597595,1,76.25
124,15,1030185,1361614831,1,49
125,17,1030185,1362285151,1,66.23
126,5,1030186,1359058808,1,54.86
127,6,1030186,0,1,0
128,11,1030186,0,1,0
129,13,1030186,0,1,0
130,15,1030186,0,1,0
131,17,1030186,0,1,0
132,5,1030187,1358946264,1,104
133,6,1030187,1359630147,1,104
134,11,1030187,1359630050,1,107
135,13,1030187,1361859550,1,99
136,15,1030187,1362438375,1,100
137,17,1030187,1362942340,1,100
138,5,1030188,0,1,0
139,6,1030188,1358909447,1,0
140,11,1030188,0,1,0
141,13,1030188,0,1,0
142,15,1030188,0,1,0
143,17,1030188,0,1,0
144,5,1030189,1362835673,1,0
145,6,1030189,1362835384,1,85.33
146,11,1030189,1362836163,1,100
147,13,1030189,1363160888,1,60
148,15,1030189,1363265349,1,99.5
149,17,1030189,1363498504,1,96.03
150,5,1030190,1359089841,1,96.86
151,6,1030190,1359672716,1,103.33
152,11,1030190,1360438949,1,82
153,13,1030190,0,1,0
154,15,1030190,0,1,0
155,17,1030190,0,1,0
156,5,1030191,1359040710,1,82.63
157,6,1030191,1359720871,1,84
158,11,1030191,1360603167,1,26
159,13,1030191,0,1,0
160,15,1030191,0,1,0
161,17,1030191,0,1,0
162,5,1030192,1359071703,1,102
163,6,1030192,1359071475,1,101.67
164,11,1030192,1360614351,1,98
165,13,1030192,1361994634,1,100
166,15,1030192,1362614083,1,42.5
167,17,1030192,0,1,0
168,5,1030193,1358689075,1,104
169,6,1030193,1359636034,1,104
170,11,1030193,1360227643,1,104
171,13,1030193,1361705365,1,100
172,15,1030193,1362299622,1,100
173,17,1030193,0,1,0
174,5,1030194,1359008532,1,104
175,6,1030194,0,1,0
176,11,1030194,0,1,0
177,13,1030194,0,1,0
178,15,1030194,0,1,0
179,17,1030194,0,1,0
180,5,1030195,1359071381,1,100
181,6,1030195,1359070643,1,0
182,11,1030195,0,1,0
183,13,1030195,0,1,0
184,15,1030195,0,1,0
185,17,1030195,0,1,0
186,5,1030196,1358701914,1,98.75
187,6,1030196,0,1,0
188,11,1030196,0,1,0
189,13,1030196,0,1,0
190,15,1030196,0,1,0
191,17,1030196,0,1,0
192,5,1030197,1359224746,1,90.25
193,6,1030197,0,1,0
194,11,1030197,0,1,0
195,13,1030197,0,1,0
196,15,1030197,0,1,0
197,17,1030197,0,1,0
198,5,1030198,1358986442,1,81.79
199,6,1030198,1359754100,1,86
200,11,1030198,0,1,0
201,13,1030198,0,1,0
202,15,1030198,0,1,0
203,17,1030198,0,1,0
204,5,1030199,1359064269,1,72.47
205,6,1030199,0,1,0
206,11,1030199,0,1,0
207,13,1030199,0,1,0
208,15,1030199,0,1,0
209,17,1030199,0,1,0
210,5,1030200,1359036435,1,100
211,6,1030200,0,1,0
212,11,1030200,0,1,0
213,13,1030200,0,1,0
214,15,1030200,0,1,0
215,17,1030200,0,1,0
216,5,1030201,1358998780,1,100
217,6,1030201,0,1,0
218,11,1030201,0,1,0
219,13,1030201,0,1,0
220,15,1030201,0,1,0
221,17,1030201,0,1,0
222,5,1030202,1359008954,1,102
223,6,1030202,1359740313,1,100
224,11,1030202,1360597566,1,100
225,13,1030202,1361807631,1,105
226,15,1030202,1362382797,1,100
227,17,1030202,1363097401,1,100
228,5,1030203,1358726408,1,104
229,6,1030203,1359672316,1,100
230,11,1030203,1360353650,1,100
231,13,1030203,1361389501,1,100
232,15,1030203,1362246259,1,60
233,17,1030203,1362705734,1,100
234,5,1030204,1358981806,1,100
235,6,1030204,1359668901,1,92
236,11,1030204,1360442424,1,82
237,13,1030204,0,1,0
238,15,1030204,0,1,0
239,17,1030204,0,1,0
240,5,1030205,1358863088,1,93.54
241,6,1030205,1359582820,1,100
242,11,1030205,1360514319,1,80
243,13,1030205,1361741402,1,100
244,15,1030205,1362431748,1,86
245,17,1030205,1362922106,1,100
246,5,1030206,1359055730,1,104
247,6,1030206,1359063045,1,101
248,11,1030206,1359749820,1,95
249,13,1030206,1361688459,1,105
250,15,1030206,1361776436,1,95
251,17,1030206,1362383005,1,100
252,5,1030207,1358731976,1,102
253,6,1030207,0,1,0
254,11,1030207,0,1,0
255,13,1030207,0,1,0
256,15,1030207,0,1,0
257,17,1030207,0,1,0
258,5,1030208,1358728333,1,104
259,6,1030208,1359335376,1,104
260,11,1030208,1360459951,1,105
261,13,1030208,1361481519,1,105
262,15,1030208,1362289807,1,100
263,17,1030208,1363072287,1,100
264,5,1030209,1359233851,1,91.04
265,6,1030209,0,1,0
266,11,1030209,1360790924,1,5
267,13,1030209,0,1,0
268,15,1030209,0,1,0
269,17,1030209,0,1,0
270,5,1030210,0,1,0
271,6,1030210,0,1,0
272,11,1030210,0,1,0
273,13,1030210,0,1,0
274,15,1030210,0,1,0
275,17,1030210,0,1,0
276,5,1030211,1358805011,1,104
277,6,1030211,1359740928,1,103.33
278,11,1030211,1360596320,1,74
279,13,1030211,1361825378,1,85
280,15,1030211,1362412413,1,87
281,17,1030211,1362673007,1,100
282,5,1030212,1359239066,1,100
283,6,1030212,1359244304,1,84
284,11,1030212,1360623553,1,0
285,13,1030212,1361836511,1,0
286,15,1030212,0,1,0
287,17,1030212,0,1,0
